                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1055,                 4.4504,                 1.6487,                      0,                      0,                      0,                      0,                0.64605,                  4.955,                 1.4927,              1.578e-05,              1.578e-05,              1.578e-05
                      2,                 0.9095,                 4.3746,                 1.5135,                      0,                      0,                      0,                      0,                0.51969,                 4.9357,                 1.3594,             3.3513e-05,             3.3513e-05,             3.3513e-05
                      3,                0.79401,                 4.3062,                 1.4546,                      0,                      0,                      0,                      0,                0.48054,                 4.9546,                 1.2687,             5.0517e-05,             5.0517e-05,             5.0517e-05
                      4,                0.60701,                 4.2021,                 1.2805,                      0,                      0,                      0,                      0,                0.51613,                 4.9674,                  1.269,             6.6792e-05,             6.6792e-05,             6.6792e-05
                      5,                0.55856,                 4.2158,                 1.2564,                      0,                      0,                      0,                      0,                0.54588,                 4.9491,                  1.298,             8.2338e-05,             8.2338e-05,             8.2338e-05
                      1,                0.98175,                 4.1393,                 1.3126,                      0,                      0,                      0,                      0,                0.43911,                 4.2083,                0.80244,                 0.0892,                 0.0012,                 0.0012
                      2,                0.73018,                 4.0941,                 1.1685,                      0,                      0,                      0,                      0,                0.39753,                 4.1852,                0.76722,               0.077451,              0.0024505,              0.0024505
                      3,                0.60296,                 4.0555,                 1.1142,                      0,                      0,                      0,                      0,                0.38754,                 4.1725,                0.74679,                0.06565,              0.0036495,              0.0036495
                      4,                0.60335,                 4.0441,                 1.1117,                      0,                      0,                      0,                      0,                0.45536,                 4.1664,                0.80198,               0.053797,              0.0047971,              0.0047971
                      5,                0.56555,                 3.9812,                 1.0781,                      0,                      0,                      0,                      0,                0.86719,                 4.2042,                 1.1824,               0.041893,              0.0058931,              0.0058931
